bill_number,bill_type,congress,full_name_display,bioguide_id,person_id
65,S,117,"Hyde-Smith, Cindy (R-MS-1)",H001079,286518
68,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
68,S,117,"Hawley, Joshua David (R-MO-1)",H001089,307631
68,S,117,"Rubio, Marco Antonio (R-FL-1)",R000595,151820
72,S,117,"Sanders, Bernard (I-VT)",S000033,51605
75,S,117,"Moran, Gerald Wesley (R-KS-1)",M000934,51535
75,S,117,"Thune, John Randolph (R-SD)",T000250,51242
77,S,117,"Braun, Michael Kent (R-IN-2)",B001310,242475
77,S,117,"Lee, Michael Shumway (R-UT-1)",L000577,151827
79,s,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
